Adverbes
bien
comme
mal
volontiers
admirablement
ainsi
aussi
comment
debout
également
ensemble
exprès
mal
mieux
plutôt
presque
vite
ici
ailleurs
alentour
après
arrière
autour
dedans
avant
dehors
derrière
dessous
devant
là
loin
près
y
partout
quelquefois
parfois
autrefois
sitôt
bientôt
aussitôt
tantôt
alors
après
ensuite
enfin
d'abord
premièrement
soudain
aujourd'hui
demain
hier
avant
cependant
déjà
demain
depuis
enfin
ensuite
jadis
jamais
maintenant
puis
quand
souvent
toujours
tard
tôt
longuement
quasi
davantage
plus
moins
ainsi
assez
aussi
autant
beaucoup
combien
encore
environ
fort
guère
presque
peu
si
tant
tellement
tout
très
trop
ainsi
aussi
pourtant
néanmoins
toutefois
cependant
puis
ensuite
d'ailleurs
assurément
certainement
certes
oui
peut-être
précisément
probablement
volontiers
vraiment
partout
où
